date,canton,municipality,start_zone_coordinates_latitude,start_zone_coordinates_longitude,start_zone_elevation,number_dead,number_caught,number_fully_buried
2001-02-24,GR,Arosa,46.7868156433105,9.64168167114258,2420.0,0,1,0
2001-02-25,GR,Molinis,46.7952728271484,9.64648342132568,2360.0,0,1,0
2001-02-25,SG,Quarten,47.0674324035645,9.24563884735107,2000.0,0,1,1
2001-02-25,VS,Simplon,46.2476959228516,7.9961953163147,2350.0,0,2,0
2001-02-25,GR,Klosters-Serneus,46.8584861755371,9.80637645721436,2170.0,0,1,1
2001-02-27,NW,Emmetten,46.9185981750488,8.49482727050781,2140.0,1,2,2
2001-02-27,GR,Arosa,46.7483558654785,9.62937450408936,2380.0,1,2,1
2001-02-28,BE,Kandersteg,46.4278907775879,7.59175825119019,2660.0,0,4,2
2001-03-01,GR,Lü,46.6348724365234,10.3907136917114,2653.33,0,1,0
2001-03-04,VS,Val d’Illiez,46.1915016174316,6.81740522384644,2180.0,0,3,0
2001-03-05,GR,Splügen,46.5236740112305,9.35954284667969,2660.0,1,3,2
2001-03-05,GR,Celerina/Schlarigna,46.5265274047852,9.80032444000244,2780.0,0,2,0
2001-03-13,VS,Simplon,46.2308082580566,8.04424381256104,2500.0,1,1,1
2001-03-14,GR,Langwies,46.8320465087891,9.79682064056396,2730.0,0,1,0
2001-03-20,GR,Poschiavo,46.408618927002,10.0705051422119,2160.0,0,1,0
2001-03-20,GR,Poschiavo,46.3648719787598,9.98010540008545,2960.0,0,2,0
2001-03-21,TI,Prato,46.4592704772949,8.71982002258301,2680.0,0,1,0
2001-03-24,UR,Andermatt,46.6245346069336,8.59419918060303,1900.0,0,1,0
2001-03-29,GR,Medel (Lucmagn),46.6281509399414,8.93982982635498,2540.0,1,4,3
2001-04-21,SG,Quarten,47.0804214477539,9.26912689208984,1600.0,0,1,0
2001-04-22,TI,Bedretto,46.5215072631836,8.47457218170166,2880.0,0,1,0
2001-04-22,GR,Celerina/Schlarigna,46.5276184082031,9.82123470306396,2700.0,0,1,0
2001-04-22,VS,Vouvry,46.3420486450195,6.79373264312744,1900.0,0,2,0
2001-04-27,VS,Hérémence,46.0730247497559,7.3693208694458,2840.0,0,1,0
2001-05-19,GR,Pontresina,46.379035949707,9.96243286132813,3800.0,2,2,1
2001-05-24,BE,Lauterbrunnen,46.5634613037109,7.97531938552856,2740.0,1,2,1
2001-06-23,BE,Grindelwald,46.582935333252,8.02143859863281,3340.0,2,2,1
2001-07-31,GL,Linthal,46.8087844848633,8.96242332458496,3180.0,0,3,0
2001-09-06,GR,Stampa,46.3056716918945,9.716965675354,3300.0,0,7,2
2001-12-15,BE,Adelboden,46.4256935119629,7.54531002044678,2400.0,0,3,0
