t-SNE1,t-SNE2,k_cluster
-0.5071845,0.26940155,3
-0.054106984,0.81534433,2
0.7465402,0.48989388,0
0.59742427,-0.054596957,0
-0.5427012,0.054796763,3
0.41084835,0.41563967,0
0.4029988,0.64554745,0
0.55571383,0.054583736,0
0.6716741,0.49054357,0
-0.5195221,0.11663221,2
-0.17693977,0.030601272,2
0.7994642,0.0040227068,4
1.0010239,-0.041557696,4
1.0603917,-0.042904105,4
-0.568276,0.43885827,2
-0.06157181,0.19129711,2
0.10427773,0.13064708,2
1.0828543,-0.062440548,4
0.072579354,0.15651825,2
1.0828543,-0.062440548,4
-0.52191216,0.11372561,2
0.061778545,0.43443206,2
0.24412796,0.48244923,0
-0.005962526,0.17738724,2
-0.918582,-0.3595443,3
-0.79085696,-0.47122437,3
-0.022258265,-0.13112164,0
-0.707826,-0.36096278,3
-0.5131604,-0.15357766,3
-0.54063064,0.51081043,2
-0.06817726,0.5273802,2
0.6874955,-0.25587094,1
0.17895755,0.3783839,0
-0.771996,-0.5960237,3
-0.34308338,0.15627679,2
-0.8494343,-0.48224863,3
-0.58257324,0.008528601,3
-0.620268,0.28054932,2
-0.48007756,-0.7756952,3
-0.89828324,-0.15738812,3
-0.3142282,-0.865633,1
0.7249479,0.4947675,0
0.45356563,0.003304792,0
0.4535242,0.003009843,0
0.4868116,0.3529385,0
-0.5033776,0.083521135,2
-0.28592718,-0.023193676,3
0.8027884,-0.018449442,4
-0.7038544,-0.574636,3
0.03663872,-0.5131,1
0.25712663,-0.06050938,0
0.29454538,0.05655572,2
-0.24506164,0.5732231,2
0.59578055,-0.1383744,4
0.21981704,0.63792646,2
-0.007946947,0.6114609,2
1.139166,-0.16039161,4
-0.005477378,0.23995398,2
0.5115159,0.102820165,2
0.61330146,-0.23469526,1
1.0322131,-0.060888544,4
0.5758571,0.41801035,0
-0.03943733,-0.50182813,1
0.32176265,-0.38061598,1
-0.23215447,-0.17101486,3
0.5665646,-0.21052302,0
0.2469296,-0.8688823,1
0.4331783,0.07773881,0
0.5665646,-0.21052302,0
-0.25211883,-0.14309789,3
0.72567195,-0.19066566,4
0.54316044,-0.1009174,1
0.57838553,-0.055850055,1
0.43437243,-0.31584257,1
0.4474031,-0.23083034,1
0.8241833,-0.09357423,4
0.3940209,-0.6449966,1
0.63021135,-0.36936584,1
0.4971267,-0.38221386,1
0.2847611,-0.43741533,1
0.7147301,-0.40173447,4
-0.8391502,-0.80266434,3
0.11057792,-0.90251696,1
-0.63624066,-0.5117946,3
-1.1868826,-0.6221477,3
-1.1597215,-0.64692503,3
1.0031196,0.13389586,4
0.0042663626,0.78446984,2
-0.46464685,0.54547775,2
-0.53109944,0.4179706,2
-0.060423266,0.51333404,0
-0.13590026,0.7732638,2
0.23489591,0.6656789,0
0.17860357,0.51242113,2
-0.9375948,-0.2506533,3
0.69673955,0.48718876,0
0.41382313,0.5584384,0
0.7163401,0.5016993,0
0.5651419,0.402184,0
0.7038575,0.47566357,0
0.67633694,0.48832327,0
0.6518877,0.48605418,0
0.5235476,-0.41390073,1
-0.6058275,-0.34536105,3
-0.60585916,-0.34536126,3
-0.75804883,-0.26866794,3
-0.15140876,0.2725821,0
0.2698816,0.017972704,0
-0.7944422,-0.47434172,3
-0.5611212,-0.47265255,3
0.14482749,-0.018739192,0
-0.7877929,-0.5420414,3
0.19443135,-0.5594674,1
-0.2184386,0.35210976,0
0.111626655,0.4781612,2
0.2220365,0.18720552,2
-0.38635778,0.5252262,2
0.33279994,0.12687902,2
0.3138037,0.11283322,2
0.8841841,-0.05466198,4
0.6372654,0.0044246707,4
0.46523297,0.47526604,0
-0.19809996,0.47653997,2
-0.48052922,-0.10598421,3
0.3838605,0.22924736,2
-0.5057118,0.27024585,2
-0.13694046,-0.10283494,2
-0.15877028,0.2694323,2
0.29166847,-0.24224286,1
0.19957098,0.4003097,0
-0.50670934,-0.085049994,3
0.5290293,0.4444772,0
0.6329587,0.495132,0
0.12718607,0.56671166,2
0.33416238,-0.3443007,1
0.06448907,0.32891187,2
0.20217454,0.36820143,2
0.24445143,-0.130866,1
0.08632573,0.48303774,2
-0.12877673,0.5354564,2
0.57960325,0.40881938,0
1.04465,-0.08564857,4
1.1537348,-0.088050246,4
0.5145043,0.47886097,0
0.7449637,0.08603032,4
0.7347615,0.014078245,4
0.22760478,0.09521845,2
-0.2706314,0.62112296,2
0.53106695,-0.10800154,0
-0.3124543,-0.6639066,3
-0.0072122053,-0.63362443,1
-0.30484962,-0.6600633,3
-0.5214805,-0.6897418,3
-0.059947114,-0.8777256,1
-0.098124474,-0.87061566,1
-0.07647887,-0.39629605,1
-0.010785042,0.28390384,2
0.86570513,-0.16367842,4
0.86570513,-0.16367842,4
0.7140298,0.039413504,4
0.5225015,-0.013286495,2
0.13038465,-0.0767907,0
0.20038679,-0.17106262,0
0.94146746,-0.28012368,4
0.52830535,-0.31614166,1
1.060791,-0.11682617,4
0.7807847,-0.0073757605,0
0.67260367,-0.24654484,1
0.18120345,-0.6619397,1
0.6442662,-0.1731209,0
0.08219151,-0.5728068,1
0.4056713,-0.76821214,1
0.5384592,-0.5600131,1
0.012035415,-0.7473073,1
0.4844281,0.3636663,0
-0.24818999,-0.58491796,3
-0.03512714,-0.474278,3
0.00061937125,-0.7701077,1
-0.055064775,-0.8487825,1
0.11494034,-0.48276833,1
0.6928371,-0.17163602,4
-0.07343908,-0.63275373,1
0.33171257,-0.6496231,1
-0.8996011,-0.4750471,3
-0.937587,-0.39305165,3
-0.25026524,0.5031975,0
-0.41358745,0.13166338,3
-0.1918601,0.6330886,2
0.64934677,0.3937031,0
0.6382547,0.51953226,0
-0.10180992,0.26712516,0
0.09255387,0.44102755,0
0.8553852,0.029988432,4
0.74555063,0.5167195,0
0.8301846,0.07491189,4
-0.11769365,0.37516582,2
0.1606516,0.45771578,2
0.28968698,0.27980518,0
-0.6768099,0.4947027,2
0.15068433,0.43367317,2
0.020292861,0.4013233,2
0.26177958,0.14793922,2
-0.7309622,0.016054126,3
0.04263919,0.14215824,2
-0.028018504,0.4304067,2
0.28189626,0.6660105,2
-0.16686065,0.66899514,2
-0.09737593,0.7388436,2
-0.012978597,0.8016733,2
-0.16686065,0.66899514,2
-0.16685335,0.6692396,2
-0.16686065,0.66899514,2
-0.26805815,0.53998375,2
-0.36429393,-0.11544418,2
0.4129208,-0.37004998,1
-0.5762841,0.18307398,3
0.20939143,-0.3527393,1
-1.0227749,-0.025649816,3
-1.0042481,-0.44861323,3
-0.58265746,0.30157056,2
-0.92928004,-0.39202887,3
-0.8983032,-0.33753332,3
0.18982951,0.69602627,2
0.7564179,0.2748091,4
0.8206291,0.08677124,4
0.23184913,0.67581934,2
0.16566429,0.64623,2
0.39845005,0.57270634,2
0.40425456,0.30911106,2
0.1259777,0.7275649,2
0.3957776,0.43337986,0
-0.26905385,0.18928097,3
-0.6348553,-0.54791605,3
0.27132156,0.25958297,0
-0.4900889,0.30567753,2
-0.42556548,0.28137803,2
-0.123371854,0.5272423,2
0.5027743,-0.118090525,1
-0.6949149,0.45602763,2
0.086690664,0.04700908,2
-0.50585055,0.2840214,2
-0.20152676,0.4247537,2
-0.30666208,0.6418406,2
0.7212912,0.10578552,4
0.2030009,0.38262057,2
-0.38194656,-0.16628368,2
-0.39102745,0.43255103,2
-0.46260816,0.3031745,2
-0.48306578,0.0038229034,3
-0.246765,0.6802779,2
-0.4874035,0.36197707,2
