t-SNE1,t-SNE2,k_cluster,municipality,canton,date,alpine_region,elevation_group
-6.2845416,0.027886046,2,Samedan,GR,2003-02-09,Eastern Alps,3000
-5.7911224,1.2709923,2,Davos,GR,2003-02-09,Eastern Alps,3000
-5.5146856,2.4643035,1,Andermatt,UR,2003-02-10,Central Alps,2000
-5.239368,0.53416175,2,Grimentz,VS,2003-02-11,Southern Alps,3000
-3.850378,2.9073594,1,Kerns,OW,2003-02-25,Central Alps,2000
-5.6547256,1.3792535,1,Bever,GR,2003-02-27,Eastern Alps,4000
-5.740503,1.200498,1,Bergün/Bravuogn,GR,2003-02-27,Eastern Alps,3000
-5.038554,-0.0017726854,0,Medel (Lucmagn),GR,2003-02-27,Eastern Alps,3000
-5.73902,1.3391808,1,Bivio,GR,2003-03-03,Eastern Alps,3000
-5.538934,1.8040534,1,Sur,GR,2003-03-04,Eastern Alps,3000
-4.6986556,1.5640262,1,Evolène,VS,2003-03-04,Southern Alps,3000
-2.965249,3.3463805,1,S-chanf,GR,2003-03-11,Eastern Alps,3000
-4.2321186,2.4394352,1,Madulain,GR,2003-03-12,Eastern Alps,3000
-3.3669271,2.6911979,3,Bergün/Bravuogn,GR,2003-03-26,Eastern Alps,3000
-4.103937,2.9005206,1,Bivio,GR,2003-04-13,Eastern Alps,3000
-4.681571,3.430885,1,Davos,GR,2003-04-13,Eastern Alps,3000
-2.290455,2.1869533,3,Bagnes,VS,2003-04-15,Southern Alps,3000
-2.0510361,1.0307811,3,Ayer,VS,2003-04-19,Southern Alps,3000
-5.018571,0.70411843,2,Zermatt,VS,2003-04-20,Southern Alps,3000
-1.648531,1.9167649,3,Davos,GR,2003-05-23,Eastern Alps,3000
-3.6243026,-1.1816747,3,Engelberg,OW,2003-11-02,Central Alps,3000
-4.36392,-0.075565584,0,Randogne,VS,2003-12-16,Southern Alps,3000
-4.2238564,-1.5594022,2,Langwies,GR,2003-12-17,Eastern Alps,3000
-4.7624516,-2.9886403,2,Tschierv,GR,2003-12-19,Eastern Alps,3000
-5.735178,0.2976596,4,Kippel / Wiler (Lötschen),VS,2003-12-23,Southern Alps,3000
-5.025261,-2.8002305,2,Davos,GR,2003-12-29,Eastern Alps,3000
-6.11397,0.97592,4,Airolo,TI,2003-12-29,Southern Alps,2000
-4.173562,-2.5950763,2,Wolfenschiessen,OW,2003-12-29,Central Alps,2000
-5.0126863,-2.0383046,0,Ried-Brig,VS,2003-12-29,Southern Alps,2000
-4.763673,-2.4277368,2,Adelboden,BE,2003-12-30,Western Alps,3000
-4.978724,-0.68083847,2,Samedan,GR,2003-12-30,Eastern Alps,3000
-4.7642007,-2.4266686,2,Adelboden,BE,2003-12-30,Western Alps,3000
-5.0633464,-0.078509316,2,Andermatt,UR,2003-12-30,Central Alps,3000
-5.5797153,-1.3922491,2,Pontresina,GR,2004-01-01,Eastern Alps,3000
